AD-ED,Reporting,FELIX W. ORTIZ,KATHERINE P. WALSH,GENESIS E. AQUINO,WRITE-IN,MARCELA MITAYNES
51-001,99.00%,41,19,6,0,54
51-002,99.00%,28,7,14,1,13
51-003,99.00%,35,20,10,1,44
51-004,99.00%,35,11,8,0,21
51-005,99.00%,26,6,1,0,20
51-006,99.00%,28,14,7,0,23
51-007,99.00%,37,38,6,1,40
51-008,99.00%,9,9,0,0,13
51-009,99.00%,14,0,7,0,5
51-010,99.00%,6,3,0,0,6
51-011,99.00%,28,39,4,0,59
51-012,99.00%,27,31,2,0,41
51-013,99.00%,25,23,3,0,46
51-014,99.00%,42,9,2,2,14
51-015,99.00%,30,10,3,3,8
51-016,99.00%,26,8,3,1,6
51-017,99.00%,14,10,1,0,32
51-018,99.00%,0,0,0,0,1
51-019,99.00%,5,0,2,0,6
51-020,99.00%,18,33,10,0,43
51-021,99.00%,7,7,0,0,5
51-022,99.00%,2,4,3,0,4
51-023,99.00%,28,21,9,2,37
51-024,99.00%,64,34,4,0,22
51-025,99.00%,0,0,0,0,0
51-026,99.00%,52,18,3,0,10
51-027,99.00%,8,4,0,1,8
51-028,99.00%,1,2,1,0,2
51-029,99.00%,51,13,8,1,33
51-030,99.00%,15,13,5,0,5
51-031,99.00%,30,31,8,0,27
51-032,99.00%,38,20,8,1,16
51-033,99.00%,36,23,20,0,23
51-034,99.00%,31,3,19,0,11
51-035,99.00%,70,13,11,0,23
51-036,99.00%,37,24,6,0,41
51-037,99.00%,46,8,13,1,59
51-038,99.00%,45,34,8,0,49
51-039,99.00%,38,28,15,0,49
51-040,99.00%,45,27,8,0,86
51-041,99.00%,24,39,16,0,50
51-042,99.00%,26,34,6,0,49
51-043,99.00%,16,17,5,0,14
51-044,99.00%,7,7,5,0,9
51-045,99.00%,1,0,1,0,3
51-046,99.00%,1,0,0,0,1
51-047,99.00%,13,11,13,0,2
51-048,99.00%,0,0,0,0,0
51-049,99.00%,31,63,14,1,48
51-050,99.00%,22,5,5,0,13
51-051,99.00%,77,14,9,0,27
51-052,99.00%,28,5,5,0,21
51-053,99.00%,18,11,2,0,14
51-054,99.00%,43,20,7,1,19
51-055,99.00%,22,23,11,0,60
51-056,99.00%,1,0,0,0,0
51-057,99.00%,0,1,0,0,0
51-058,99.00%,10,4,1,0,6
51-059,99.00%,14,4,3,0,17
51-060,99.00%,25,17,14,0,21
51-061,99.00%,21,16,10,0,33
51-062,99.00%,19,25,8,0,26
51-063,99.00%,52,20,11,0,20
51-064,99.00%,28,16,25,0,22
51-065,99.00%,45,14,18,0,29
51-066,99.00%,31,5,7,0,19
51-067,99.00%,58,15,7,0,10
51-068,99.00%,5,11,3,0,11
51-069,99.00%,80,7,12,0,12
51-070,99.00%,76,10,17,0,12
51-071,99.00%,90,14,10,0,16
51-072,99.00%,40,32,14,0,57
51-073,99.00%,56,48,7,0,33
51-074,99.00%,57,9,6,0,8
51-075,99.00%,22,19,9,0,16
51-076,99.00%,19,15,3,0,19
51-077,99.00%,25,20,7,0,25
51-078,99.00%,28,8,4,2,17
51-079,99.00%,41,10,5,0,33
51-080,99.00%,12,3,3,0,14
51-081,99.00%,26,10,7,0,22
51-082,99.00%,33,28,15,1,51
51-083,99.00%,30,35,11,0,43
51-084,99.00%,0,0,0,0,0
51-085,99.00%,0,0,0,0,0
51-086,99.00%,0,0,0,0,0
51-087,99.00%,0,0,0,0,0
