AD-ED,Reporting,Jo Jorgensen Jeremy Cohen,Donald J. Trump Michael R. Pence,WRITE-IN,Howie Hawkins Angela Nicole Walker,Joseph R. Biden Kamala D. Harris,Brock Pierce Karla Ballard
23-001,99.00%,1,43,0,1,43,0
23-002,99.00%,0,22,0,0,33,0
23-003,99.00%,2,34,0,1,35,0
23-004,99.00%,0,7,0,0,8,0
23-005,99.00%,2,225,2,0,147,0
23-006,99.00%,1,278,0,0,136,0
23-007,99.00%,0,254,1,1,122,1
23-008,99.00%,3,220,0,1,180,0
23-009,99.00%,1,257,0,1,115,0
23-010,99.00%,0,161,2,1,174,1
23-011,83.33%,2,142,1,6,138,0
23-012,83.33%,1,63,0,0,120,0
23-013,99.00%,0,76,2,1,172,0
23-014,99.00%,0,71,1,1,111,0
23-015,99.00%,0,53,0,0,67,0
23-016,99.00%,0,33,1,2,65,0
23-017,99.00%,0,48,0,0,111,0
23-018,99.00%,0,19,0,0,233,1
23-019,99.00%,2,71,3,3,262,0
23-020,99.00%,0,0,0,0,0,0
23-021,99.00%,0,86,0,3,312,0
23-022,99.00%,0,0,0,0,0,0
23-023,99.00%,0,139,0,0,72,0
23-024,99.00%,0,47,0,0,199,0
23-025,62.50%,0,64,1,0,96,0
23-026,99.00%,0,20,0,0,41,1
23-027,62.50%,0,147,0,0,9,0
23-028,99.00%,2,366,2,0,70,0
23-029,99.00%,1,132,0,2,387,0
23-030,62.50%,0,16,0,0,134,0
23-031,62.50%,0,21,0,0,114,0
23-032,99.00%,0,11,0,0,179,0
23-033,99.00%,0,18,0,2,250,0
23-034,50.00%,0,30,0,0,193,1
23-035,71.43%,0,32,0,1,181,0
23-036,71.43%,0,71,0,0,114,0
23-037,71.43%,1,49,0,0,161,0
23-038,99.00%,0,7,1,0,60,0
23-039,62.50%,0,67,0,0,38,0
23-040,99.00%,9,445,2,2,165,1
23-041,99.00%,6,338,0,0,115,1
23-042,50.00%,0,20,0,0,323,0
23-043,91.67%,0,41,1,0,123,0
23-044,60.00%,0,100,0,0,37,0
